instnm,Average net price-students awarded grant or scholarship aid  2018-19 (SFA1819),Percent full-time first-time receiving an award - 6 years (DRVOM2019),State abbreviation (HD2018),City location of institution (HD2018),ZIP code (HD2018),Admissions office web address (HD2018),Longitude location of institution (HD2018),Latitude location of institution (HD2018),Sector of institution (HD2018),Historically Black College or University (HD2018),Carnegie Classification 2018: Undergraduate Instructional Program (HD2018),Carnegie Classification 2018: Basic (HD2018),Carnegie Classification 2018: Undergraduate Profile (HD2018),Institution size category (HD2018),ROTC (IC2018_RV),Study abroad (IC2018_RV),Member of National Collegiate Athletic Association (NCAA) (IC2018),Total price for out-of-state students living on campus 2018-19 (DRVIC2018),Total price for in-state students living on campus 2018-19 (DRVIC2018),Percent admitted - total (DRVADM2018_RV),Admissions yield - total (DRVADM2018_RV),Percent of undergraduate enrollment that are White (DRVEF2018_RV),Percent of undergraduate enrollment that are women (DRVEF2018_RV),Graduation rate  total cohort (DRVGR2018_RV),Completion of college-preparatory program (ADM2018_RV),Recommendations (ADM2018_RV),SAT Math 25th percentile score (ADM2018_RV),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2018_RV),
Southwestern Oklahoma State University,,31,OK,Weatherford,73096-3001,https://www.swosu.edu/admissions/apply/index.aspx,-98.707768,35.535281,1,2,16,18,13,3,0,1,1,28141,21241,92,43,63,60,36,1,3,,,
Southwestern University,27757,74,TX,Georgetown,78626,www.southwestern.edu/admission/,-97.665738,30.634341,2,2,9,21,14,2,0,1,1,55970,55970,45,22,61,55,74,1,1,550,580,
Spalding University,22314,37,KY,Louisville,40203-2188,https://spalding.edu/admissions,-85.757725,38.242407,2,2,16,17,13,2,1,1,1,39487,39487,96,24,66,68,39,2,3,500,,
Spartanburg Methodist College,12672,37,SC,Spartanburg,29301-5899,https://www.smcsc.edu/admissions/,-81.970863,34.955117,5,2,1,1,4,1,0,0,0,29560,29560,58,52,50,51,41,5,2,410,430,
Spelman College,43042,75,GA,Atlanta,30314-4399,www.spelman.edu/admissions,-84.411527,33.745279,2,1,6,21,14,2,1,1,0,52929,52929,39,15,0,100,75,1,1,520,560,
Spertus College,,,IL,Chicago,60605,www.spertus.edu/academics,-87.624785,41.873881,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Spokane Community College,,31,WA,Spokane,99217-5399,https://scc.spokane.edu/Admissions/Enrollment.aspx,-117.360065,47.674034,1,2,5,14,7,4,1,1,0,,,,,46,58,24,,,,,
Spokane Falls Community College,,26,WA,Spokane,99224-5288,https://sfcc.spokane.edu/Become-a-Student,-117.463538,47.676741,1,2,5,14,7,3,1,1,0,,,,,59,58,22,,,,,
Spring Arbor University,20427,59,MI,Spring Arbor,49283-9799,www.arbor.edu/admissions/,-84.556074,42.206568,2,2,16,18,9,2,1,1,0,41400,41400,71,23,71,68,57,2,1,505,520,
Spring Hill College,22362,52,AL,Mobile,36608-1791,www.shc.edu/undergraduate/admissions/,-88.138199,30.694751,2,2,13,21,12,2,1,1,1,57676,57676,66,5,66,61,59,2,1,510,505,
Springfield College,29706,74,MA,Springfield,01109-3797,www.springfield.edu/admissions,-72.556751,42.101576,2,2,16,18,12,2,1,1,1,53244,53244,63,25,73,50,72,1,1,530,520,
Springfield College-Regional  Online  and Continuing Education,,,MA,Springfield,01109,www.springfield.edu/school-of-professional-and-continuing-studies/admissions,-72.556647,42.102200,2,2,18,32,0,1,0,0,0,,,,,20,79,,,,,,
St Bernard's School of Theology and Ministry,,,NY,Rochester,14618,www.stbernards.edu/admissions-aid/,-77.526326,43.102185,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
St Bonaventure University,23445,69,NY,Saint Bonaventure,14778-9800,www.sbu.edu/admission-aid,-78.481107,42.080191,2,2,16,19,12,2,1,1,1,49136,49136,73,24,71,47,68,2,1,520,520,
St Catherine University,20172,52,MN,Saint Paul,55105,https://www.stkate.edu/admissions/,-93.183761,44.924926,2,2,16,17,9,2,1,1,1,52164,52164,73,21,60,96,56,1,2,556,563,
St Francis College,13492,50,NY,Brooklyn Heights,11201-4305,www.sfc.edu/admissions,-73.992164,40.693228,2,2,16,22,11,2,1,1,1,44488,44488,77,26,36,61,55,5,5,,,
St John's Seminary,,,CA,Camarillo,93012-2500, ,-119.001867,34.243921,2,2,0,24,0,1,0,1,0,,,,,,,,,,,,
St Lawrence University,34047,86,NY,Canton,13617,www.stlawu.edu/admissions,-75.161343,44.589879,2,2,6,21,14,2,1,1,1,70630,70630,46,22,78,55,82,1,1,600,590,
St Luke's College,21704,100,IA,Sioux City,51104-0263,www.stlukescollege.edu/admissions.aspx,-96.404724,42.520081,2,2,5,26,5,1,0,0,0,,,100,67,79,90,57,3,3,,,
St Olaf College,27779,88,MN,Northfield,55057-1098,wp.stolaf.edu/admissions,-93.182039,44.461529,2,2,6,21,14,2,0,1,1,60590,60590,50,29,69,57,86,1,1,590,600,
St Petersburg College,,38,FL,Clearwater,33760-2822,go.spcollege.edu/admissions/,-82.717331,27.902420,1,2,5,23,5,5,0,1,0,,,,,61,62,32,,,,,
St. Andrews University,22699,31,NC,Laurinburg,28352, ,-79.478567,34.745630,2,2,16,22,11,1,0,1,0,39656,39656,41,43,37,51,32,2,2,395,385,
St. John Vianney College Seminary,29568,65,FL,Miami,33165-3244,www.sjvcs.edu/admissions/,-80.337411,25.742579,2,2,6,24,11,1,0,0,0,37200,37200,100,80,35,2,67,3,1,,,
St. John's College,31887,67,MD,Annapolis,21401,www.sjc.edu/admissions-and-aid/,-76.491359,38.981598,2,2,8,21,14,1,0,0,0,67325,67325,58,23,62,48,76,2,1,570,630,
St. John's College,24787,49,NM,Santa Fe,87505-4599,www.sjc.edu/admissions-and-aid,-105.912478,35.666974,2,2,8,21,15,1,0,0,0,67916,67916,67,30,53,44,64,2,1,590,610,
St. John's College-Department of Nursing,,,IL,Springfield,62702,https://www.sjcs.edu/Prospective-Students/Apply,-89.645320,39.807602,2,2,18,26,11,1,0,0,0,,,,,89,89,,,,,,
St. John's University-New York,26993,57,NY,Queens,11439,www.stjohns.edu/admission,-73.796104,40.722523,2,2,13,17,14,5,1,1,1,61408,61408,73,16,46,58,61,5,5,530,540,
St. Joseph's College-Long Island,17593,72,NY,Patchogue,11772,www.sjcny.edu/long-island/admissions,-73.024661,40.775933,2,2,16,18,13,2,0,1,1,,,77,36,65,68,68,5,1,510,510,
St. Joseph's College-New York,16363,70,NY,Brooklyn,11205-3688,www.sjcny.edu/brooklyn/admissions,-73.967664,40.690418,2,2,16,19,11,2,0,1,1,,,70,14,36,69,68,1,1,510,510,
St. Mary's College of Maryland,,78,MD,St. Mary's City,20686,www.smcm.edu/admissions/,-76.429097,38.190904,1,2,6,21,15,2,0,1,1,46140,30378,80,28,72,58,80,2,1,520,540,
St. Mary's University,19528,62,TX,San Antonio,78228,https://www.stmarytx.edu/admission/,-98.562778,29.453244,2,2,13,18,12,2,1,1,1,45320,45320,75,16,15,55,56,3,2,520,530,
St. Thomas Aquinas College,20972,54,NY,Sparkill,10976-1050,www.stac.edu/admissions,-73.936799,41.041576,2,2,13,20,11,2,1,1,1,49310,49310,76,20,58,52,55,2,2,450,460,
St. Thomas University,20172,42,FL,Miami Gardens,33054-6459,www.stu.edu/Admissions,-80.253273,25.922071,2,2,16,18,11,2,0,1,0,49276,49276,52,18,17,56,40,5,5,460,490,
Stanford University,16779,94,CA,Stanford,94305,admission.stanford.edu/,-122.167359,37.429434,2,2,11,15,14,4,1,1,1,71587,71587,4,82,34,50,94,2,1,720,700,
Starr King School for the Ministry,,,CA,Berkeley,94709-1209,www.sksm.edu/admissions/,-122.261778,37.876939,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
State College of Florida-Manatee-Sarasota,,38,FL,Bradenton,34207,www.scf.edu/StudentServices/EducationalRecords/Admissions/default.asp,-82.590887,27.438040,1,2,5,23,5,4,0,0,0,,,,,62,63,38,,,,,
State University of New York at New Paltz,,72,NY,New Paltz,12561-2443,www.newpaltz.edu/admissions/,-74.082188,41.740936,1,2,13,18,15,3,0,1,1,35421,25641,41,18,59,61,76,1,1,540,550,
Stephen F Austin State University,,43,TX,Nacogdoches,75961,www.sfasu.edu/admissions/,-94.649080,31.621056,1,2,13,17,13,4,1,1,1,32116,22156,68,30,58,64,48,2,3,490,500,
Stephens College,22604,60,MO,Columbia,65215,https://www.stephens.edu/admissions-and-aid/,-92.319204,38.952040,2,2,13,20,13,1,0,1,0,45401,45401,59,20,67,99,50,5,5,450,520,
Sterling College,19604,39,KS,Sterling,67579,www.sterling.edu/admissions,-98.208644,38.219937,2,2,12,22,10,1,0,1,0,37306,37306,41,24,60,43,53,2,3,470,460,
Sterling College,22734,38,VT,Craftsbury Common,05827-0072,www.sterlingcollege.edu/admissions/,-72.382372,44.652250,2,2,12,21,11,1,0,1,0,50900,50900,93,36,74,48,44,3,1,,,
Stetson University,23761,62,FL,DeLand,32723,www.stetson.edu/admissions/,-81.300746,29.035475,2,2,13,18,12,2,1,1,1,63282,63282,68,10,59,56,61,1,1,,,
Stevens Institute of Technology,40770,83,NJ,Hoboken,07030-5991,www.stevens.edu/undergrad/,-74.025334,40.744776,2,2,20,16,14,3,1,1,1,69292,69292,41,26,64,29,87,1,1,690,640,
Stevens-Henager College,25749,30,UT,West Haven,84401,www.stevenshenager.edu,-112.011617,41.232847,2,2,5,26,10,1,0,0,0,,,,,63,72,31,,,,,
Stevens-Henager College,21895,30,UT,Orem,84058,www.stevenshenager.edu,-111.713264,40.269691,2,2,12,21,10,1,0,0,0,,,,,65,49,29,,,,,
Stevens-Henager College,24674,16,UT,Murray,84123-5671,www.stevenshenager.edu,-111.902145,40.659626,2,2,5,20,10,1,0,0,0,,,,,52,48,19,,,,,
Stevens-Henager College,26792,29,UT,Logan,84321,www.stevenshenager.edu,-111.835961,41.718039,2,2,5,23,10,1,0,0,0,,,,,66,59,24,,,,,
Stevens-Henager College,23205,32,ID,Boise,83709-6733,www.stevenshenager.edu,-116.278290,43.591087,2,2,5,23,10,1,0,0,0,,,,,52,60,38,,,,,
Stevens-Henager College,26077,18,ID,Idaho Falls,83402,www.stevenshenager.edu,-112.051560,43.483460,2,2,5,26,10,1,0,0,0,,,,,62,78,19,,,,,
Stevenson University,27913,54,MD,Stevenson,21153-0641,www.stevenson.edu/admissions/default.asp,-76.702092,39.421988,2,2,16,18,13,2,1,1,1,53149,53149,73,19,56,65,56,3,1,510,520,
Stillman College,18111,27,AL,Tuscaloosa,35401,https://stillman.edu/admissions/,-87.585278,33.200006,2,1,9,21,15,1,1,0,0,25092,25092,39,13,5,57,29,3,3,,,
Stockton Christian Life College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stockton University,,72,NJ,Galloway,08205-9441,intraweb.stockton.edu/eyos/page.cfm?siteID=64&pageID=1,-74.531087,39.492036,1,2,13,18,13,3,0,1,1,37965,30838,84,31,67,58,74,2,1,500,500,
Stone Child College,,33,MT,Box Elder,59521-9796,www.stonechild.edu,-109.870182,48.289808,1,2,18,33,6,1,0,0,0,,,,,4,59,29,,,,,
Stonehill College,35409,80,MA,Easton,02357-6110,https://www.stonehill.edu/admission/,-71.080632,42.059050,2,2,9,21,12,2,1,1,1,61246,61246,70,14,84,60,79,1,1,,,
Stony Brook University,,72,NY,Stony Brook,11794,https://www.stonybrook.edu/sb/admissions.shtml,-73.120460,40.914760,1,2,11,15,15,5,1,1,1,43761,26091,42,21,32,48,74,1,1,630,600,
Suffolk University,33105,60,MA,Boston,02108-3901,www.suffolk.edu/admission/index.html,-71.060917,42.357945,2,2,13,18,13,3,0,1,1,57871,57871,85,17,47,55,59,1,1,510,520,
Sul Ross State University,,22,TX,Alpine,79832,www.sulross.edu/page/1261/center-enrollment-services,-103.651469,30.363139,1,2,13,18,7,2,0,1,1,30426,20466,99,44,23,58,25,3,3,,,
SUM Bible College and Theological Seminary,18489,42,CA,El Dorado Hills,95762,www.sum.edu/apply/,-121.055684,38.620464,2,2,20,24,11,1,0,0,0,22990,22990,66,98,45,51,36,3,1,,,
Summit Christian College,7380,0,NE,Gering,69341,www.summitcc.net/admissions,-103.675715,41.829274,2,2,18,24,9,1,0,1,0,12018,12018,100,83,89,22,46,3,1,,,
SUNY at Albany,,65,NY,Albany,12222,www.albany.edu/admissions.php,-73.824662,42.685489,1,2,11,15,15,4,1,1,1,43574,26734,52,19,44,51,64,1,1,550,550,
SUNY at Fredonia,,63,NY,Fredonia,14063-1136,www.fredonia.edu/admissions/,-79.337375,42.452236,1,2,13,19,13,2,0,1,1,33682,23902,76,25,72,57,62,1,1,480,490,
SUNY at Purchase College,,67,NY,Purchase,10577-1400,www.purchase.edu/admissions/,-73.701955,41.047223,1,2,10,21,13,2,0,1,1,36762,26982,65,28,52,58,63,3,5,510,550,
SUNY Brockport,,66,NY,Brockport,14420-2919,https://www.brockport.edu/admissions/,-77.947188,43.211926,1,2,16,18,13,3,1,1,1,34388,24608,53,23,70,57,65,2,5,510,510,
SUNY Buffalo State,,47,NY,Buffalo,14222,admissions.buffalostate.edu/,-78.882125,42.933832,1,2,13,18,11,3,1,1,1,35626,25846,61,18,45,57,48,1,2,460,400,
SUNY College at Geneseo,,78,NY,Geneseo,14454-1465,admissions.geneseo.edu,-77.821894,42.796645,1,2,10,20,14,3,1,1,1,35541,25761,65,20,76,61,81,2,2,560,560,
SUNY College at Old Westbury,,47,NY,Old Westbury,11568-0210,www.oldwestbury.edu/admissions/,-73.571907,40.799021,1,2,10,20,11,3,1,1,1,33913,24133,78,18,28,59,47,2,1,470,480,
SUNY College at Oswego,,65,NY,Oswego,13126,https://www.oswego.edu/admissions,-76.540798,43.454287,1,2,13,18,15,3,1,1,1,34560,24780,54,21,69,50,64,1,1,530,540,
SUNY College at Plattsburgh,,62,NY,Plattsburgh,12901-2681,www.plattsburgh.edu/admissions/,-73.466536,44.692930,1,2,16,19,13,3,0,1,1,34839,25059,54,23,64,57,68,1,1,510,540,
SUNY College at Potsdam,,52,NY,Potsdam,13676-2294,www.potsdam.edu/admissions/,-74.973815,44.662148,1,2,10,19,13,2,1,1,1,34694,24914,64,21,61,60,56,2,1,,,
SUNY College of Agriculture and Technology at Cobleskill,,46,NY,Cobleskill,12043,www.cobleskill.edu/admissions/,-74.498258,42.672534,1,2,18,22,11,2,0,1,1,35887,26107,77,26,65,53,40,2,2,430,430,
SUNY College of Environmental Science and Forestry,,79,NY,Syracuse,13210,www.esf.edu/admission.htm,-76.138724,43.034765,1,2,14,16,15,2,1,1,0,38774,28994,61,31,78,47,77,1,1,560,560,
SUNY College of Optometry,,,NY,New York,10036-8003,www.sunyopt.edu/education/admissions,-73.982236,40.754465,1,2,0,26,0,1,0,1,0,,,,,,,,,,,,
SUNY College of Technology at Alfred,,55,NY,Alfred,14802,www.alfredstate.edu/admissions/request-info,-77.794632,42.255262,1,2,5,23,11,2,1,1,1,32247,25422,63,27,73,38,56,3,2,480,470,
SUNY College of Technology at Canton,,40,NY,Canton,13617-1098,www.canton.edu/admissions/,-75.182906,44.604096,1,2,18,22,11,2,1,1,1,28503,24513,78,21,65,57,40,2,2,450,450,
SUNY College of Technology at Delhi,,47,NY,Delhi,13753-1100,www.delhi.edu/admission/,-74.924612,42.269859,1,2,5,23,9,2,0,1,1,28240,24270,64,21,60,54,44,1,5,450,470,
SUNY Cortland,,71,NY,Cortland,13045-0900,www2.cortland.edu/admissions/,-76.188655,42.598022,1,2,16,18,13,3,1,1,1,35000,25220,44,21,73,56,71,2,1,530,530,
SUNY Downstate Health Sciences University,,,NY,Brooklyn,11203-2098,sls.downstate.edu/admissions/,-73.945535,40.653855,1,2,19,25,11,2,0,0,0,,,,,35,80,,,,,,
SUNY Empire State College,,22,NY,Saratoga Springs,12866-4391,www.esc.edu/Admissions,-73.782484,43.077283,1,2,16,18,5,4,0,0,0,,,,,58,62,26,,,,,
SUNY Maritime College,,62,NY,Throggs Neck,10465-4198,www.sunymaritime.edu/Admissions,-73.795309,40.807217,1,2,18,20,14,2,1,1,1,35685,25905,72,36,69,12,66,2,2,540,535,
SUNY Morrisville,,32,NY,Morrisville,13408,www.morrisville.edu/contact/offices/admissions,-75.640583,42.893962,1,2,5,23,11,2,1,1,1,39350,29300,72,22,61,49,33,2,2,420,430,
SUNY Oneonta,,71,NY,Oneonta,13820-4015,https://suny.oneonta.edu/admissions,-75.063632,42.468861,1,2,13,19,13,3,0,1,1,34478,25028,51,19,73,61,76,1,1,450,460,
SUNY Polytechnic Institute,,50,NY,Utica,13502,www.sunypoly.edu/admissions/,-75.229841,43.137701,1,2,16,19,13,2,1,1,1,34140,24360,65,19,72,35,57,1,1,510,490,
Susquehanna University,27079,70,PA,Selinsgrove,17870-1025,www.susqu.edu/admission-and-aid#undefined,-76.875329,40.797502,2,2,9,21,12,2,1,1,1,62480,62480,72,15,76,57,71,1,1,,,
Swarthmore College,19759,94,PA,Swarthmore,19081,www.swarthmore.edu/admissions-aid,-75.354278,39.905159,2,2,6,21,14,2,0,1,1,71167,71167,9,41,38,51,94,2,1,700,680,
Sweet Briar College,25859,54,VA,Sweet Briar,24595-9998,sbc.edu/admissions/,-79.081014,37.556725,2,2,9,21,12,1,0,1,1,38100,38100,76,22,73,97,46,1,1,470,520,
Syracuse University,43111,82,NY,Syracuse,13244,https://www.syracuse.edu/admissions/,-76.136975,43.040176,2,2,14,15,14,5,1,1,1,70636,70636,50,21,57,54,83,2,1,590,590,
Tabor College,24708,38,KS,Hillsboro,67063-1799,tabor.edu/undergraduate/,-97.200949,38.348606,2,2,16,22,11,1,0,1,0,43760,43760,57,37,66,44,42,3,3,450,470,
Tacoma Community College,,29,WA,Tacoma,98466-6100,https://www.tacomacc.edu/costs-admission/admission-process/,-122.524793,47.244622,1,2,5,14,7,3,0,1,0,,,,,44,64,25,,,,,
Talladega College,15264,30,AL,Talladega,35160, ,-86.112704,33.433472,2,1,12,21,11,2,1,1,0,23745,23745,,,3,49,24,,,,,
Tallahassee Community College,,35,FL,Tallahassee,32304-2895,www.tcc.fl.edu/admissions/,-84.339000,30.443866,1,2,5,14,5,4,1,1,0,,,,,48,54,35,,,,,
Talmudic College of Florida,14461,41,FL,Miami Beach,33140-3854,www.talmudicu.edu/students/,-80.136293,25.811996,2,2,20,24,10,1,0,0,0,26650,26650,,,81,0,55,,,,,
Talmudical Academy-New Jersey,12336,13,NJ,Adelphia,07710,https://talmudicalacademynj.com,-74.250167,40.217456,2,2,18,24,11,1,0,0,0,20700,20700,83,80,97,0,8,2,1,,,
Talmudical Institute of Upstate New York,,33,NY,Rochester,14607-3046,https://www.tiuny.org,-77.574943,43.147062,2,2,18,24,10,1,0,0,0,14550,14550,,,100,0,25,1,1,,,
Talmudical Seminary of Bobov,2862,34,NY,Brooklyn,11219, ,-73.995378,40.634485,2,2,18,24,11,1,0,0,0,17700,17700,95,97,100,0,50,1,1,,,
Talmudical Seminary Oholei Torah,16570,11,NY,Brooklyn,11213,tsot.edu/,-73.945759,40.670089,2,2,5,24,11,1,0,0,0,21500,21500,94,82,90,0,27,1,1,,,
Talmudical Yeshiva of Philadelphia,9795,61,PA,Philadelphia,19131, ,-75.247964,39.989249,2,2,18,24,10,1,0,0,0,19600,19600,84,95,96,0,47,3,2,,,
Tarleton State University,,47,TX,Stephenville,76401-0000,www.tarleton.edu/admissions/index.html,-98.214866,32.214988,1,2,16,18,7,4,1,1,1,31755,21795,55,38,65,62,46,1,3,480,480,
Taylor University,26703,79,IN,Upland,46989-1001,https://www.taylor.edu/admission,-85.497034,40.456246,2,2,13,22,14,2,0,1,0,47228,47228,78,32,83,55,82,1,1,540,540,
Teachers College at Columbia University,,,NY,New York,10027,www.tc.columbia.edu/admissions/admission/,-73.960194,40.810216,2,2,0,16,0,2,0,0,0,,,,,,,,,,,,
Teachers College of San Joaquin,,,CA,Stockton,95206,www.teacherscollegesj.edu/Admissions,-121.229911,37.907970,1,2,0,32,11,1,0,0,0,,,,,59,68,,,,,,
Telshe Yeshiva-Chicago,6450,23,IL,Chicago,60625,https://telsheyeshivachicago.com,-87.717550,41.975536,2,2,18,24,12,1,0,0,0,17500,17500,100,100,99,0,6,1,1,,,
Temple University,,71,PA,Philadelphia,19122-6096,www.temple.edu/admissions,-75.156859,39.980546,1,2,17,15,13,5,1,1,1,45100,33004,59,24,55,54,73,1,2,,,
Tennessee State University,,33,TN,Nashville,37209-1561,www.tnstate.edu/admissions/,-86.828275,36.166321,1,1,16,16,11,3,1,1,1,35718,22998,,,12,62,30,,,,,
Tennessee Technological University,,50,TN,Cookeville,38505-0001,https://www.tntech.edu/admissions/,-85.504039,36.174754,1,2,16,16,13,4,1,1,1,41995,26131,76,36,84,45,55,1,3,520,530,
Tennessee Wesleyan University,12043,40,TN,Athens,37303,www.tnwesleyan.edu/admissions/,-84.592728,35.446331,2,2,19,22,11,2,0,1,0,36080,36080,60,42,72,63,40,2,1,450,470,
Texas A & M International University,,42,TX,Laredo,78041-1900,www.tamiu.edu/admissions,-99.436043,27.571172,1,2,13,18,7,3,1,1,1,29437,18549,52,36,2,60,46,1,3,460,470,
Texas A & M University-College Station,,82,TX,College Station,77843-1248,admissions.tamu.edu,-96.336475,30.618726,1,2,17,15,14,5,1,1,1,55131,29506,68,46,60,47,82,2,3,590,580,
Texas A & M University-Commerce,,41,TX,Commerce,75428-3011,www.tamuc.edu/admissions/,-95.908451,33.243745,1,2,11,17,9,4,1,1,1,35433,22983,42,34,44,60,40,2,2,470,490,
Texas A & M University-Corpus Christi,,37,TX,Corpus Christi,78412-5503,admissions.tamucc.edu,-97.323950,27.713723,1,2,13,16,11,4,1,1,1,33714,23337,87,26,35,59,37,5,2,480,500,
Texas A & M University-Kingsville,,34,TX,Kingsville,78363,www.tamuk.edu/admission/index.html,-97.882387,27.525168,1,2,17,16,11,3,1,1,1,38262,23285,89,19,14,49,37,2,3,470,470,
Texas A&M University-Central Texas,,,TX,Killeen,76549,www.tamuct.edu/admissions.html,-97.775182,31.053407,1,2,13,19,5,2,1,1,0,,,,,41,57,,,,,,
Texas A&M University-San Antonio,,100,TX,San Antonio,78224,www.tamusa.edu/admissions/index.html,-98.524170,29.304762,1,2,10,18,5,3,1,0,0,38579,26076,30,26,16,61,,1,3,460,470,
Texas A&M University-Texarkana,,29,TX,Texarkana,75503,www.tamut.edu/Admissions,-94.103617,33.490482,1,2,10,19,9,2,0,1,0,31562,19533,51,12,55,60,28,2,3,490,500,
Texas Chiropractic College Foundation Inc,,,TX,Pasadena,77505-1699,www.txchiro.edu/future-students/admissions.html,-95.150135,29.663702,2,2,0,26,0,1,0,0,0,,,,,,,,,,,,
Texas Christian University,37509,82,TX,Fort Worth,76129,admissions.tcu.edu,-97.364758,32.709610,2,2,16,16,15,4,1,1,1,65684,65684,41,27,69,59,83,1,1,570,580,
Texas College,14020,17,TX,Tyler,75702,www.texascollege.edu/pages/admissions/admissions-requirements/first-time-freshman,-95.312454,32.374560,2,1,15,22,11,2,0,0,0,21008,21008,,,3,45,10,,,,,
Texas Lutheran University,19896,52,TX,Seguin,78155-5999,www.tlu.edu/admissions,-97.982669,29.573261,2,2,12,22,12,2,1,1,1,43310,43310,54,31,49,50,53,5,2,500,490,
Texas Southern University,,22,TX,Houston,77004,em.tsu.edu/admissions/index.php,-95.361113,29.721046,1,1,16,16,11,3,1,1,1,37793,25343,57,21,1,58,21,2,2,410,420,
Texas State University,,54,TX,San Marcos,78666,www.admissions.txstate.edu/,-97.943029,29.888885,1,2,14,16,13,5,1,1,1,34750,23130,78,32,44,58,55,1,3,500,510,
Texas Tech University,,59,TX,Lubbock,79409-5005,www.depts.ttu.edu/admissions/,-101.874783,33.583448,1,2,17,15,15,5,1,1,1,34432,24472,71,36,54,47,60,1,2,530,540,
Texas Tech University Health Sciences Center,,,TX,Lubbock,79430,https://www.ttuhsc.edu/medicine/admissions/,-101.891915,33.589284,1,2,20,25,11,3,0,0,0,,,,,57,84,,,,,,
Texas Tech University Health Sciences Center-El Paso,,,TX,El Paso,79905-2827,elpaso.ttuhsc.edu/som/admissions/,-106.431220,31.771891,1,2,-2,-2,-2,1,0,0,0,,,,,14,80,,,,,,
Texas Wesleyan University,26434,34,TX,Fort Worth,76105-1536,www.txwes.edu/admissions,-97.279613,32.732962,2,2,13,17,13,2,1,1,0,46252,46252,36,20,29,52,38,2,2,470,460,
Texas Woman's University,,35,TX,Denton,76204,www.twu.edu/admissions/,-97.127842,33.226211,1,2,13,17,7,4,0,1,1,30232,20272,87,25,38,88,43,2,3,480,490,
The Baptist College of Florida,10564,45,FL,Graceville,32440, ,-85.503931,30.962708,2,2,16,24,6,1,0,0,0,19062,19062,85,56,69,47,62,5,1,400,430,
The Catholic University of America,36331,73,DC,Washington,20064,https://www.catholic.edu/admission,-76.997909,38.933651,2,2,14,16,10,3,1,1,1,64560,64560,84,16,64,53,76,1,1,,,
The Chicago School of Professional Psychology at Anaheim,,,CA,Irvine,92612,www.thechicagoschool.edu/admissions/,-117.838089,33.650763,2,2,0,26,0,1,0,1,0,,,,,,,,,,,,
The Chicago School of Professional Psychology at Chicago,,,IL,Chicago,60654,www.thechicagoschool.edu/admissions/,-87.633790,41.888293,2,2,0,26,0,2,0,1,0,,,,,,,,,,,,
The Chicago School of Professional Psychology at Los Angeles,,,CA,Los Angeles,90017,www.thechicagoschool.edu/admissions/,-118.257251,34.047958,2,2,8,26,5,2,0,1,0,,,34,23,48,86,,5,5,,,
The Chicago School of Professional Psychology at San Diego,,,CA,San Diego,92101-7903,https://www.thechicagoschool.edu/admissions/,-117.167054,32.718575,2,2,-2,-2,-2,1,0,1,0,,,,,,,,,,,,
The Chicago School of Professional Psychology at Washington DC,,,DC,Washington,20005,www.thechicagoschool.edu/admissions/,-77.033071,38.901630,2,2,0,26,0,1,0,1,0,,,,,,,,,,,,
The Chicago School of Professional Psychology at Xavier University of Louisiana,,,LA,New Orleans,70125-1056,www.thechicagoschool.edu/admissions/,-90.107924,29.965270,2,2,-2,-2,-2,1,0,1,0,,,,,,,,,,,,
The Christ College of Nursing and Health Sciences,17443,67,OH,Cincinnati,45219-2989,www.thechristcollege.edu/visit,-84.509564,39.121821,2,2,5,26,5,1,0,0,0,,,64,45,80,91,45,3,5,443,438,
The College of Idaho,21043,68,ID,Caldwell,83605-4432,www.collegeofidaho.edu/admission,-116.677992,43.652284,2,2,13,21,12,1,1,1,0,43349,43349,49,21,60,52,70,2,1,,,
The College of New Jersey,,87,NJ,Ewing,08628-7718,https://admissions.tcnj.edu,-74.778791,40.268651,1,2,13,18,14,3,1,1,1,46707,34992,50,23,64,57,86,2,2,580,580,
The College of New Rochelle,,,NY,New Rochelle,10805-2339,www.cnr.edu/Admissions,-73.781104,40.899427,2,2,10,19,11,2,0,1,1,55694,55694,83,26,10,83,35,2,2,440,450,
The College of Saint Rose,23047,58,NY,Albany,12203-1490,www.strose.edu/admissions,-73.786661,42.664297,2,2,13,18,11,2,1,1,1,48588,48588,87,11,55,67,61,1,2,,,
The College of Saint Scholastica,24636,68,MN,Duluth,55811-4199,www.css.edu/Undergraduate/Undergraduate-Traditional/Admissions.html,-92.106134,46.816082,2,2,16,17,13,2,1,1,1,50352,50352,66,16,84,71,69,3,3,530,520,
The College of the Florida Keys,,29,FL,Key West,33040,www.fkcc.edu/current-students/enrollment-overview/,-81.744460,24.582748,1,2,5,14,5,1,0,0,0,30847,20961,,,53,54,30,,,,,
The College of Wooster,28209,75,OH,Wooster,44691,www.wooster.edu/admissions/,-81.934674,40.810460,2,2,6,21,14,2,0,1,1,64000,64000,54,17,63,54,75,1,1,560,570,
The Continents University of Arts and Sciences,,,OH,Columbus,43220, ,-83.073637,40.054576,8,2,-2,-2,-2,-1,0,1,-2,,,,,,,,,,,,
